table_name,check,passed,failed_rows
DIM_DATE,date_id_unique,True,0
DIM_DATE,no_direct_identifiers,True,0
DIM_TIME_BLOCK,time_block_id_unique,True,0
DIM_TIME_BLOCK,no_direct_identifiers,True,0
DIM_SITE,site_id_unique,True,0
DIM_SITE,no_direct_identifiers,True,0
DIM_ZONE_OR_REGION,zone_id_unique,True,0
DIM_ZONE_OR_REGION,no_direct_identifiers,True,0
DIM_UNIT,unit_id_unique,True,0
DIM_UNIT,no_direct_identifiers,True,0
DIM_BED,bed_id_unique,True,0
DIM_BED,no_direct_identifiers,True,0
DIM_SERVICE_LINE,service_line_id_unique,True,0
DIM_SERVICE_LINE,no_direct_identifiers,True,0
DIM_SPECIALTY,specialty_id_unique,True,0
DIM_SPECIALTY,no_direct_identifiers,True,0
DIM_PROVIDER_GROUP,provider_group_id_unique,True,0
DIM_PROVIDER_GROUP,no_direct_identifiers,True,0
DIM_CLINIC,clinic_id_unique,True,0
DIM_CLINIC,no_direct_identifiers,True,0
DIM_CLINIC_TEMPLATE,clinic_template_id_unique,True,0
DIM_CLINIC_TEMPLATE,no_direct_identifiers,True,0
DIM_DIAGNOSIS_GROUP,diagnosis_group_id_unique,True,0
DIM_DIAGNOSIS_GROUP,no_direct_identifiers,True,0
DIM_PROCEDURE_GROUP,procedure_group_id_unique,True,0
DIM_PROCEDURE_GROUP,no_direct_identifiers,True,0
DIM_ACUITY_LEVEL,acuity_level_id_unique,True,0
DIM_ACUITY_LEVEL,no_direct_identifiers,True,0
DIM_AGE_BAND,age_band_id_unique,True,0
DIM_AGE_BAND,no_direct_identifiers,True,0
DIM_EQUITY_GEO_PROXY,equity_geo_proxy_id_unique,True,0
DIM_EQUITY_GEO_PROXY,no_direct_identifiers,True,0
DIM_OPEN_DATA_SOURCE,open_data_source_id_unique,True,0
DIM_OPEN_DATA_SOURCE,no_direct_identifiers,True,0
DIM_SCENARIO,scenario_id_unique,True,0
DIM_SCENARIO,no_direct_identifiers,True,0
DIM_MODEL,model_id_unique,True,0
DIM_MODEL,no_direct_identifiers,True,0
DIM_METRIC,metric_id_unique,True,0
DIM_METRIC,no_direct_identifiers,True,0
FCT_BED_CENSUS_HOURLY,census_hour_id_unique,True,0
FCT_BED_CENSUS_HOURLY,no_direct_identifiers,True,0
FCT_BED_STATUS_HOURLY,bed_status_hour_id_unique,True,0
FCT_BED_STATUS_HOURLY,no_direct_identifiers,True,0
