metric_id,name,formula,source_fields,cadence,owner,validation,caveat,reviewed_date,classification,source_ids,lineage_summary
METRIC_OCCUPANCY,Network occupancy,sum(census) / sum(effective_beds),"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_BED_STATUS",hourly,Patient Flow,approved,Synthetic metric card; local definition review required before production adoption.,2026-06-11,direct,,
METRIC_ED_BOARDING,ED boarder hours,sum(boarder_count * elapsed_hours),"SRC_SYNTH_ED_VISITS,SRC_SYNTH_ADT_EVENTS,SRC_SYNTH_PATIENT_CLASS_STATUS",15 minutes,ED/Inpatient,approved,Synthetic metric card; local definition review required before production adoption.,2026-06-11,derived,,
METRIC_DISCHARGE_RELIABILITY,Discharge reliability,completed_discharges_by_1600 / expected_discharges,"SRC_SYNTH_DISCHARGE_MILESTONES,SRC_SYNTH_DISCHARGE_BARRIERS",hourly,Patient Flow,approved,Synthetic metric card; local definition review required before production adoption.,2026-06-11,derived,,
METRIC_EFFECTIVE_STAFFED_BEDS,Effective staffed beds,physical_beds * staffing_factor * isolation_factor,"SRC_SYNTH_BED_STATUS,SRC_SYNTH_STAFFING_ROSTER,SRC_SYNTH_WORKLOAD_ACUITY,SRC_SYNTH_ISOLATION_STATUS",hourly,Operations,approved,Synthetic metric card; local definition review required before production adoption.,2026-06-11,derived,,
METRIC_PICU_NICU_PRESSURE,PICU/NICU pressure,weighted occupancy + transfer demand + step-down constraint,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_TRANSFER_REQUESTS,SRC_SYNTH_LEVEL_OF_CARE",hourly,Critical Care,review,Synthetic metric card; local definition review required before production adoption.,2026-06-11,derived,,
METRIC_OR_CANCELLATION_RISK,OR cancellation risk,post-op bed demand gap + PACU hold + staffing constraint,"SRC_SYNTH_OR_CASES,SRC_SYNTH_PACU_EVENTS,SRC_SYNTH_POST_OP_BED_DEMAND",daily,Perioperative,approved,Synthetic metric card; local definition review required before production adoption.,2026-06-11,modelled,,
METRIC_WAITLIST_PRESSURE,Waitlist pressure,weighted over-target referrals by priority and age,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_REFERRALS,SRC_SYNTH_REFERRAL_TRIAGE",weekly,Ambulatory,approved,Synthetic metric card; local definition review required before production adoption.,2026-06-11,derived,,
METRIC_THIRD_NEXT_AVAILABLE,Third next available,third open eligible appointment slot from clinic template,"SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_CLINIC_SLOTS,SRC_SYNTH_APPOINTMENTS",weekly,Ambulatory,approved,Synthetic metric card; local definition review required before production adoption.,2026-06-11,derived,,
METRIC_NO_SHOW_GUARDRAIL,No-show guardrail,predicted missed visits constrained by equity and priority rules,"SRC_SYNTH_NO_SHOW_LATE_CANCEL,SRC_SYNTH_PROVIDER_AVAILABILITY,SRC_SYNTH_REFERRALS",daily,Ambulatory,review,Synthetic metric card; local definition review required before production adoption.,2026-06-11,modelled,,
METRIC_DIAGNOSTIC_READINESS,Diagnostic readiness,complete dependencies / required dependencies,"SRC_SYNTH_DIAGNOSTIC_READINESS,SRC_SYNTH_IMAGING_ORDERS,SRC_SYNTH_LAB_RESULTS",daily,Ambulatory,review,Synthetic metric card; local definition review required before production adoption.,2026-06-11,derived,,
METRIC_SURVEILLANCE_WARNING,Clinical surveillance warning,synthetic signal above governed threshold,"SRC_SYNTH_SAFETY_EVENTS_AGG,SRC_SYNTH_SEPSIS_SCREENING,SRC_MODEL_PREDICTIONS",daily,Surveillance,review,Synthetic metric card; local definition review required before production adoption.,2026-06-11,modelled,,
METRIC_GATEKEEPER_HEALTH,Governance control health,ready assets / active assets with unresolved issues weighted by severity,"SRC_DIRECT_LINKAGE_VALIDATION,SRC_GOVERNANCE_APPROVALS,SRC_LEARNING_SYSTEM_EVENTS",event-driven,Analytics Governance,approved,Synthetic metric card; local definition review required before production adoption.,2026-06-11,derived,,
METRIC_ED_BOARDERS,ED boarders awaiting pediatric inpatient bed,sum(ed_admissions_awaiting_bed),,,Patient Flow,approved,,,direct,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_HR_SHIFT_ROSTER,SRC_SYNTH_FINANCE_RESOURCE_ENVELOPE,SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION",Synthetic v5 command-centre metric; production use requires local definition owner approval.
METRIC_HR_GAP_HOURS,HR gap hours,sum(required_hours - available_hours),,,Workforce,review,,,HR,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_HR_SHIFT_ROSTER,SRC_SYNTH_FINANCE_RESOURCE_ENVELOPE,SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION",Synthetic v5 command-centre metric; production use requires local definition owner approval.
METRIC_FINANCE_RESOURCE_PRESSURE,Resource pressure proxy,marginal_resource_need_k versus resource_ceiling_k,,,Finance partner,review,,,finance,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_HR_SHIFT_ROSTER,SRC_SYNTH_FINANCE_RESOURCE_ENVELOPE,SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION",Synthetic v5 command-centre metric; production use requires local definition owner approval.
METRIC_OPEN_CONTEXT_LIFT,Open-context forecast lift,respiratory + AQHI/smoke + calendar adjustment,,,Analytics,approved,,,open data,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_HR_SHIFT_ROSTER,SRC_SYNTH_FINANCE_RESOURCE_ENVELOPE,SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION",Synthetic v5 command-centre metric; production use requires local definition owner approval.
METRIC_TNA,Third next available,synthetic template-derived days to third available appointment,,,Ambulatory operations,approved,,,derived,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_HR_SHIFT_ROSTER,SRC_SYNTH_FINANCE_RESOURCE_ENVELOPE,SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION",Synthetic v5 command-centre metric; production use requires local definition owner approval.
