table_name,check_name,status,failed_rows,last_checked,owner
INPATIENT_MISSION_CONTROL,freshness,review,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
INPATIENT_MISSION_CONTROL,primary_key,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
INPATIENT_MISSION_CONTROL,direct_identifier_scan,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
INPATIENT_MISSION_CONTROL,bounds,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
INPATIENT_MISSION_CONTROL,missingness,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
INPATIENT_MISSION_CONTROL,timestamp_order,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
INPATIENT_FLOW,freshness,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
INPATIENT_FLOW,primary_key,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
INPATIENT_FLOW,direct_identifier_scan,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
INPATIENT_FLOW,bounds,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
INPATIENT_FLOW,missingness,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
INPATIENT_FLOW,timestamp_order,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
INPATIENT_FORECASTS,freshness,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
INPATIENT_FORECASTS,primary_key,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
INPATIENT_FORECASTS,direct_identifier_scan,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
INPATIENT_FORECASTS,bounds,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
INPATIENT_FORECASTS,missingness,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
INPATIENT_FORECASTS,timestamp_order,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
INPATIENT_SCENARIOS,freshness,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
INPATIENT_SCENARIOS,primary_key,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
INPATIENT_SCENARIOS,direct_identifier_scan,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
INPATIENT_SCENARIOS,bounds,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
INPATIENT_SCENARIOS,missingness,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
INPATIENT_SCENARIOS,timestamp_order,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
AMBULATORY_MISSION_CONTROL,freshness,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
AMBULATORY_MISSION_CONTROL,primary_key,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
AMBULATORY_MISSION_CONTROL,direct_identifier_scan,pass,2,2026-06-10T12:00:00-06:00,synthetic prototype data quality
AMBULATORY_MISSION_CONTROL,bounds,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
AMBULATORY_MISSION_CONTROL,missingness,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
AMBULATORY_MISSION_CONTROL,timestamp_order,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
AMBULATORY_ACCESS,freshness,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
AMBULATORY_ACCESS,primary_key,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
AMBULATORY_ACCESS,direct_identifier_scan,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
AMBULATORY_ACCESS,bounds,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
AMBULATORY_ACCESS,missingness,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
AMBULATORY_ACCESS,timestamp_order,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
AMBULATORY_FORECASTS,freshness,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
AMBULATORY_FORECASTS,primary_key,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
AMBULATORY_FORECASTS,direct_identifier_scan,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
AMBULATORY_FORECASTS,bounds,review,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
AMBULATORY_FORECASTS,missingness,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
AMBULATORY_FORECASTS,timestamp_order,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
AMBULATORY_SCENARIOS,freshness,pass,2,2026-06-10T12:00:00-06:00,synthetic prototype data quality
AMBULATORY_SCENARIOS,primary_key,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
AMBULATORY_SCENARIOS,direct_identifier_scan,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
AMBULATORY_SCENARIOS,bounds,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
AMBULATORY_SCENARIOS,missingness,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
AMBULATORY_SCENARIOS,timestamp_order,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
MODEL_CARDS,freshness,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
MODEL_CARDS,primary_key,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
MODEL_CARDS,direct_identifier_scan,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
MODEL_CARDS,bounds,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
MODEL_CARDS,missingness,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
MODEL_CARDS,timestamp_order,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
OPEN_DATA_CONTEXT,freshness,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
OPEN_DATA_CONTEXT,primary_key,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
OPEN_DATA_CONTEXT,direct_identifier_scan,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
OPEN_DATA_CONTEXT,bounds,pass,0,2026-06-10T12:00:00-06:00,synthetic prototype data quality
