site_id,unit_id,unit_name,horizon_hours,occupancy_pct,ed_boarders,staffing_gap_pct,discharge_expected,source_ids
SITE_STOLLERY_INSPIRED,STOLLERY_INSPIRED_RESPIRATORY,Respiratory,0,1.005,16,0.12,1,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_ED_VISITS,SRC_SYNTH_DISCHARGE_MILESTONES"
SITE_STOLLERY_INSPIRED,STOLLERY_INSPIRED_RESPIRATORY,Respiratory,6,1.013,17,0.12,2,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_ED_VISITS,SRC_SYNTH_DISCHARGE_MILESTONES"
SITE_STOLLERY_INSPIRED,STOLLERY_INSPIRED_RESPIRATORY,Respiratory,12,1.021,18,0.13,2,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_ED_VISITS,SRC_SYNTH_DISCHARGE_MILESTONES"
SITE_STOLLERY_INSPIRED,STOLLERY_INSPIRED_RESPIRATORY,Respiratory,24,1.023,19,0.13,2,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_ED_VISITS,SRC_SYNTH_DISCHARGE_MILESTONES"
SITE_STOLLERY_INSPIRED,STOLLERY_INSPIRED_RESPIRATORY,Respiratory,36,1.025,20,0.12,3,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_ED_VISITS,SRC_SYNTH_DISCHARGE_MILESTONES"
SITE_STOLLERY_INSPIRED,STOLLERY_INSPIRED_RESPIRATORY,Respiratory,48,1.027,20,0.116,3,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_ED_VISITS,SRC_SYNTH_DISCHARGE_MILESTONES"
SITE_STOLLERY_INSPIRED,STOLLERY_INSPIRED_RESPIRATORY,Respiratory,60,1.029,21,0.116,4,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_ED_VISITS,SRC_SYNTH_DISCHARGE_MILESTONES"
SITE_STOLLERY_INSPIRED,STOLLERY_INSPIRED_RESPIRATORY,Respiratory,72,1.031,22,0.116,4,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_ED_VISITS,SRC_SYNTH_DISCHARGE_MILESTONES"
SITE_STOLLERY_INSPIRED,STOLLERY_INSPIRED_GENERAL_PEDIATRICS,General pediatrics,0,0.955,11,0.08,1,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_ED_VISITS,SRC_SYNTH_DISCHARGE_MILESTONES"
SITE_STOLLERY_INSPIRED,STOLLERY_INSPIRED_GENERAL_PEDIATRICS,General pediatrics,6,0.963,12,0.08,2,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_ED_VISITS,SRC_SYNTH_DISCHARGE_MILESTONES"
SITE_STOLLERY_INSPIRED,STOLLERY_INSPIRED_GENERAL_PEDIATRICS,General pediatrics,12,0.971,13,0.09,2,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_ED_VISITS,SRC_SYNTH_DISCHARGE_MILESTONES"
SITE_STOLLERY_INSPIRED,STOLLERY_INSPIRED_GENERAL_PEDIATRICS,General pediatrics,24,0.973,14,0.09,3,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_ED_VISITS,SRC_SYNTH_DISCHARGE_MILESTONES"
SITE_STOLLERY_INSPIRED,STOLLERY_INSPIRED_GENERAL_PEDIATRICS,General pediatrics,36,0.975,15,0.08,3,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_ED_VISITS,SRC_SYNTH_DISCHARGE_MILESTONES"
SITE_STOLLERY_INSPIRED,STOLLERY_INSPIRED_GENERAL_PEDIATRICS,General pediatrics,48,0.977,15,0.076,4,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_ED_VISITS,SRC_SYNTH_DISCHARGE_MILESTONES"
SITE_STOLLERY_INSPIRED,STOLLERY_INSPIRED_GENERAL_PEDIATRICS,General pediatrics,60,0.979,16,0.076,4,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_ED_VISITS,SRC_SYNTH_DISCHARGE_MILESTONES"
SITE_STOLLERY_INSPIRED,STOLLERY_INSPIRED_GENERAL_PEDIATRICS,General pediatrics,72,0.981,17,0.076,5,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_ED_VISITS,SRC_SYNTH_DISCHARGE_MILESTONES"
SITE_STOLLERY_INSPIRED,STOLLERY_INSPIRED_PICU,PICU,0,0.975,5,0.1,2,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_ED_VISITS,SRC_SYNTH_DISCHARGE_MILESTONES"
SITE_STOLLERY_INSPIRED,STOLLERY_INSPIRED_PICU,PICU,6,0.983,6,0.1,3,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_ED_VISITS,SRC_SYNTH_DISCHARGE_MILESTONES"
SITE_STOLLERY_INSPIRED,STOLLERY_INSPIRED_PICU,PICU,12,0.991,7,0.11,3,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_ED_VISITS,SRC_SYNTH_DISCHARGE_MILESTONES"
SITE_STOLLERY_INSPIRED,STOLLERY_INSPIRED_PICU,PICU,24,0.993,8,0.11,4,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_ED_VISITS,SRC_SYNTH_DISCHARGE_MILESTONES"
SITE_STOLLERY_INSPIRED,STOLLERY_INSPIRED_PICU,PICU,36,0.995,9,0.1,5,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_ED_VISITS,SRC_SYNTH_DISCHARGE_MILESTONES"
SITE_STOLLERY_INSPIRED,STOLLERY_INSPIRED_PICU,PICU,48,0.997,9,0.096,5,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_ED_VISITS,SRC_SYNTH_DISCHARGE_MILESTONES"
SITE_STOLLERY_INSPIRED,STOLLERY_INSPIRED_PICU,PICU,60,0.999,10,0.096,6,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_ED_VISITS,SRC_SYNTH_DISCHARGE_MILESTONES"
