open_calendar_id,week_start_date,school_in_session_proxy,holiday_week_proxy,source_name,synthetic_context_fallback
OPEN_CAL_202601,2026-01-05,True,True,Fallback calendar proxy,True
OPEN_CAL_202602,2026-01-12,True,False,Fallback calendar proxy,True
OPEN_CAL_202603,2026-01-19,True,False,Fallback calendar proxy,True
OPEN_CAL_202604,2026-01-26,True,False,Fallback calendar proxy,True
OPEN_CAL_202605,2026-02-02,True,False,Fallback calendar proxy,True
OPEN_CAL_202606,2026-02-09,True,False,Fallback calendar proxy,True
OPEN_CAL_202607,2026-02-16,True,False,Fallback calendar proxy,True
OPEN_CAL_202608,2026-02-23,True,False,Fallback calendar proxy,True
OPEN_CAL_202609,2026-03-02,True,False,Fallback calendar proxy,True
OPEN_CAL_202610,2026-03-09,True,False,Fallback calendar proxy,True
OPEN_CAL_202611,2026-03-16,True,False,Fallback calendar proxy,True
OPEN_CAL_202612,2026-03-23,True,False,Fallback calendar proxy,True
OPEN_CAL_202613,2026-03-30,True,False,Fallback calendar proxy,True
OPEN_CAL_202614,2026-04-06,True,False,Fallback calendar proxy,True
OPEN_CAL_202615,2026-04-13,True,False,Fallback calendar proxy,True
OPEN_CAL_202616,2026-04-20,True,False,Fallback calendar proxy,True
OPEN_CAL_202617,2026-04-27,True,False,Fallback calendar proxy,True
