bed_id,unit_id,site_id,is_isolation_capable,is_monitored,synthetic_demo
SITE_STOLLERY_INSPIRED_GEN_BED_001,SITE_STOLLERY_INSPIRED_GEN,SITE_STOLLERY_INSPIRED,False,False,True
SITE_STOLLERY_INSPIRED_GEN_BED_002,SITE_STOLLERY_INSPIRED_GEN,SITE_STOLLERY_INSPIRED,False,False,True
SITE_STOLLERY_INSPIRED_GEN_BED_003,SITE_STOLLERY_INSPIRED_GEN,SITE_STOLLERY_INSPIRED,False,False,True
SITE_STOLLERY_INSPIRED_GEN_BED_004,SITE_STOLLERY_INSPIRED_GEN,SITE_STOLLERY_INSPIRED,True,False,True
SITE_STOLLERY_INSPIRED_GEN_BED_005,SITE_STOLLERY_INSPIRED_GEN,SITE_STOLLERY_INSPIRED,False,False,True
SITE_STOLLERY_INSPIRED_GEN_BED_006,SITE_STOLLERY_INSPIRED_GEN,SITE_STOLLERY_INSPIRED,True,False,True
SITE_STOLLERY_INSPIRED_GEN_BED_007,SITE_STOLLERY_INSPIRED_GEN,SITE_STOLLERY_INSPIRED,False,False,True
SITE_STOLLERY_INSPIRED_GEN_BED_008,SITE_STOLLERY_INSPIRED_GEN,SITE_STOLLERY_INSPIRED,True,False,True
SITE_STOLLERY_INSPIRED_GEN_BED_009,SITE_STOLLERY_INSPIRED_GEN,SITE_STOLLERY_INSPIRED,True,False,True
SITE_STOLLERY_INSPIRED_GEN_BED_010,SITE_STOLLERY_INSPIRED_GEN,SITE_STOLLERY_INSPIRED,False,False,True
SITE_STOLLERY_INSPIRED_GEN_BED_011,SITE_STOLLERY_INSPIRED_GEN,SITE_STOLLERY_INSPIRED,False,False,True
SITE_STOLLERY_INSPIRED_GEN_BED_012,SITE_STOLLERY_INSPIRED_GEN,SITE_STOLLERY_INSPIRED,True,False,True
SITE_STOLLERY_INSPIRED_GEN_BED_013,SITE_STOLLERY_INSPIRED_GEN,SITE_STOLLERY_INSPIRED,False,False,True
