workload_id,site_id,unit_id,ts_hour,acuity_weighted_workload_index,synthetic_demo
WORK_SITE_STOLLERY_INSPIRED_GEN_2026010100,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T00:00:00,0.973,True
WORK_SITE_STOLLERY_INSPIRED_GEN_2026010101,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T01:00:00,0.85,True
WORK_SITE_STOLLERY_INSPIRED_GEN_2026010102,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T02:00:00,0.946,True
WORK_SITE_STOLLERY_INSPIRED_GEN_2026010103,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T03:00:00,0.917,True
WORK_SITE_STOLLERY_INSPIRED_GEN_2026010104,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T04:00:00,0.947,True
WORK_SITE_STOLLERY_INSPIRED_GEN_2026010105,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T05:00:00,0.949,True
WORK_SITE_STOLLERY_INSPIRED_GEN_2026010106,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T06:00:00,0.838,True
WORK_SITE_STOLLERY_INSPIRED_GEN_2026010107,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T07:00:00,0.868,True
WORK_SITE_STOLLERY_INSPIRED_GEN_2026010108,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T08:00:00,0.865,True
WORK_SITE_STOLLERY_INSPIRED_GEN_2026010109,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T09:00:00,0.875,True
WORK_SITE_STOLLERY_INSPIRED_GEN_2026010110,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T10:00:00,0.972,True
WORK_SITE_STOLLERY_INSPIRED_GEN_2026010111,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T11:00:00,1.051,True
WORK_SITE_STOLLERY_INSPIRED_GEN_2026010112,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T12:00:00,0.944,True
WORK_SITE_STOLLERY_INSPIRED_GEN_2026010113,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T13:00:00,0.892,True
WORK_SITE_STOLLERY_INSPIRED_GEN_2026010114,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T14:00:00,1.0,True
WORK_SITE_STOLLERY_INSPIRED_GEN_2026010115,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T15:00:00,0.974,True
WORK_SITE_STOLLERY_INSPIRED_GEN_2026010116,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T16:00:00,1.028,True
WORK_SITE_STOLLERY_INSPIRED_GEN_2026010117,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T17:00:00,1.143,True
